get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
what is {bruno|name}'s {job title|position},What is the {percentage|function} of employees that {fully meet performance expectations|performance_score},{widowed|maritaldesc} employees,What is {Ivan Rogers|name}'s {annual|time_recur} {salary|money}?,fetch me the {highest|extreme} {earning|money} for a {it manager - infra|position} at this org,{us citizen|citizendesc}s how much do they {make|money},{Lori Roby|name}'s {bday|dob} is in which month,,All of the {female|sex} {born|dob} in {two thousands|time_interval},Who is {Maryellen|name}'s {manager|manager}?,get me a list of all of the employees that are {reporting to|manager} {kathleen kinsella|name}
what {department|department} does {nan singh|name} currently work in,What is the employee's race?,Which employees are {female|sex}?,"{each week|time_recur}, how much does {Jackie Valentin|name} bring in {income|money}?","Of all the workers that {started at the company|employment_action} {3 and a half years|sys_duration} ago, what {fraction|function} {made|money} {more than|comparator} {sixty grand|sys_amount-of-money}?",give me the {salaries|money} of {hispanic|racedesc} employees in this company,When was {Taylor Sparks|name} {born|dob}?,,list the all of the employees who have a {date of ending employment|employment_action} {post|date_compare} {2006|sys_time},i want the {reporting|manager} {manager|manager} for both {earnest|name} and {Luke|name},I'd like the employees who {report to|manager} Madame {Elisa Bramante|name}
tell me what is {taylor|name}'s {race|racedesc},What {average|function} of employees that {meet 90-day expectations|performance_score}?,employees that live in {MT|state},What does the {payroll|money} say about {Mia|name}'s {earning|money},"of the {shared services manager|position}s, give me the {bottom|extreme} {$|money}",Which employee(s) have {greatest|extreme} {earnings|money}?,{working here for|employment_action} how long {Richard Newman|name},,{90's|time_interval} {born|dob} {white|racedesc} employees,who are {Lenora|name} and {seffi shields|name} {working under|manager} currently,can i have the names of employees who report to {judy|name}
Show me that {state|state}  that {Josephine Bugali|name} is from,{How many|function} employees are {asian|racedesc}?,"{lowest|extreme} {13|sys_number} {age|age} employees, who are they?",How much {pay|money} does {Anthony Cisco|name} {earner|money} from Cisco {hourly|time_recur}?,"{total|function} employees are paid {above|comparator} {salary|money} of {60,000|sys_number} {a month|sys_duration}?",which {senior accountant|position}s are {earning|money} {less than|comparator} {$|money} {172k|sys_number},"When {Maryellen Jackson|name} was {born|dob}, what was the month",,Which employees were {terminated|employment_action} in the {this month|date_compare}?,who is the {management|manager} individual for {Luke Patronick|name},which employees is {Jason Salter|name} the {manager|manager} for
tell me about jack,What {percentage|function} of employees are parents?,which staff work in {sales|department},{earns|money} Amount {gerry|name},{highest|extreme} {salary|money} for a {network engineer|position},"Of employees {hired|employment_action} {between|comparator} {5|sys_number} to {3 years|sys_duration} ago, which employee {earns|money} at the {top|extreme}?",Did we {let go|employment_action} of {Amy|name} in {May|sys_time},,{singles|maritaldesc} {fired|employment_action} {last year|sys_time},is the {manager|manager} for {eric|name} the same as the {manager|manager} for {david|name}?,Who are those employees that are {under|comparator} and {work for|manager} {haley rivera|name}?
what is {george|name}'s {race|racedesc},{How many|function} employees are in our department?,{administrative assistant|position} employees,Does {Haley|name} get {$70k|sys_amount-of-money} in {income|money}?,What is the {average|function} {pay rate|money}?,Show me the {earnings|money} of {male|sex} in this company,{Nori|name} {join|employment_action} date,,{80's|time_interval} {born|dob} {women|sex},does {eric|name} get {managed by|manager} {Jonathan|name},I want to know if {Tyrone Steans|name} is a {manger|manager}
I want {julia soto|name}'s {state|state},{aggregate|function} {num of|function} employees that are {below|comparator} the {age of|age} {58|age}?,{oldest|extreme} employees list,What does {julia|name} get for {compensation|money}?,{percentage|function} {earning|money} for {male|sex} out of the {total|function}?,Which {White|racedesc} employee {earns|money} the {most|extreme},What year was {Paula|name}s {start date|employment_action}?,,{August|sys_time} - {born|dob} employees,{ricardo|name} {boss|manager},{Judy|name} is the {supervisor|manager} for which of our employees
please tell me ms.{bramante|name}'s {age|age} as well as his {gender|sex},{proportion|function} employees that are minorities?,Which employees were {hired|employment_action} {last|date_compare} {May|sys_time}?,How much does Cisco give {Susan Ferguson|name} in {make|money} {by the week|time_recur}?,{lowest|extreme} {income|money} for a {accountant i|position},{female|sex} {income|money},What was {Amy|name}'s official {join date|employment_action} at this company?,,employees that were {born|dob} in the month of {March|sys_time},get me ms. {jacquelyn williams|name}'s {boss|manager} full name,Which are all of the employees who are having {Neville Tredinnick|name} as the name of their {manager|manager}?
how {old|age} is {Howard|name} and is he a {boy|sex} or a {girl|sex}?,What are the {M/F|sex} {ratios|function} in different departments?,who is {reports to|manager} {shared services manager|position}?,What does {Louis Punjabhi|name} {earn|money} {weekly|time_recur}?,"Employees {hired|employment_action} between {2013|sys_time} and {2014|sys_time}, {average|function} {pay|money}",Who are our {max|extreme} {incomes|money} earners,{julia|name} was {fired|employment_action} on which date,,Who was {fired|employment_action} {this month|date_compare},I'd like the employees who {report to|manager} Madame {Mohammed|name},Tell me which employees have {karthikeyan|name} as their {manager|manager}
get me {Lynn O'hare|name}'s {race|racedesc},{How many|function} employees are {married|maritaldesc}?,{it director|position},How much is {Lenora Tejeda|name} {earning|money} on her {paycheck|money},{average|function} {income|money} of employees {recruited|employment_action} {last month|sys_time},Get me the {top|extreme} {ten|sys_number} {earners|money} in the {Production department|department},"When {Constance Sloan|name} {started|employment_action}, what was the date",,list the employees who {have been here|employment_action} {last year|sys_time},{noah|name} {lead|manager} name,Who are those employees that right now have {Elisa|name} as their {manager|manager} they are {working under|manager}
Why did {Nan|name} get {fired|employment_action}?,{How many|function} employees are there?,workers that have been {divorced|maritaldesc},How much does {Ivan Rogers|name} {make|money} {every month|time_recur}?,give me the {percentage|function} {made|money} by {female|sex}s,{IT support|position} {top|extreme} {earner|money},Can you tell me how long has {mia|name} worked in the firm,,"{2013|sys_time} {hired|employment_action} here, who are such people?",{leads|manager} for {Kissy|name},Gimmmie a list of employees that are currently {work for|manager} {nicole fancett|name}
which {department|department} is {mia|name} in?,What {percentage|function} of workers are {older than|comparator} {30|sys_number} {years old|age}?,Which employees are {male|sex}?,What is the {pay rate|money} of {julia|name}?,"what {pct|function} people {make|money} {fewer than|comparator} {300,000|sys_number}?",Who {earns|money} the {least|extreme} in the {executive office|department} dept,Which month does {Taisha Goble|name} have his {bday|dob},,Tell me about employees who {started|employment_action} in Spring {2019|sys_time},{manages|manager} {michael riordan|name},i want the name of everyone that is {working for|manager} {raul garcia|name}
who is {Mia|name},I want the {proportion|function} of employees that are {married|maritaldesc}?,employees {separated|maritaldesc}?,{paycheck|money} {adell Saada|name},{percent|function} {earnings|money} that goes to new grad hires,{earning|money} {male|sex},"{end her employment|employment_action}, {Jyoti Lajiri|name} which day",,Which employees have {been with us|employment_action} for {less than|comparator} {five years|sys_duration}?,"does {judy jung|name} have a {boss|manager}, if so who is the guy or girl?",{nicole|name} is the {mentor|manager} of which employees
what is the {age|age} of {Ivan Rogers|name},"calculate the {ratio|function} breakdown of employees that joined via {information session|employee_source}, {professional society|employee_source} and {on-line web application|employee_source}?",Who {joined|employment_action} after seeing a {billboard|employee_source}?,Does {haley|name} {earn|money} {more|comparator} money than {sixty thousand|sys_number} {daily|time_recur}?,Get me the {total|function} {$|money} for all employees {hired|employment_action} {this year|date_compare},{lowest|extreme} {income|money} {salaries|money},What was the exact date when {Melisa Gerke|name} was {employed|employment_action} at our company?,,{asian|racedesc} employees {born|dob} {after|date_compare} {1940|sys_time},I wanna know {Shakira|name}'s person in {leadership|manager} of her?,I want an employee list with all of the folks {working under|manager} {Dawn|name}
how did {Ivan Rogers|name} hear about us,{distribution|function} tenure of employees in {FL|state}?,who is {married|maritaldesc},{jyoti|name} {pay|money},what are {production manager|position}s {making|money} {typically|function}?,{dollars|money} of {female|sex} in the org,Can you pl tell me how long has {Jereivan rogersh|name} worked in the firm,,{single|maritaldesc} employees with a {firing date|employment_action} {last year|sys_time},{manager|manager} name for ms {debra|name},Give me all of the employees hv {Julissa|name} as their {manager|manager} that they {are under|manager}?
{william|name}'s {position|position}  is what,Which office location has the {least|extreme} employees?,who is {single|maritaldesc},What is the {each year|time_recur} {income|money} for {Myriam Givens|name} at Cisco?,"{How many|function} employees are paid {above|comparator} {$200,000|sys_amount-of-money} {a year|sys_duration}?",what are the {earnings|money} for {active|employment_status} employees,{Earnest Hankard|name} {date of birth|dob},,{2012|sys_time} {joined|employment_action} workers,"does {Cherly|name} have a {boss|manager} that she {is under|manager}, if so who is it?",{works for|manager} {jessica bunbury|name}
Was {Josephine|name} {let go|employment_action} of due to {performance reasons|reason_for_termination}?,When do we {most|extreme} often {hire/fire|employment_status} people?,workers that aren't {us citizen|citizendesc},"{Monthly|time_recur} {compensation|money}, {mia brown|name}",What's the {added up|function} {$|money} for all of the employees?,who are the company's {bottom|extreme} {14|sys_number} {asian|racedesc} {earners|money},tell me {birth date|dob} of {Ermine Pelletier|name},,employees with {DOB|dob} in {April|sys_time},"anyone {mentor|manager} of Ms. {Tanya|name}, if so who is that?",Which employees have {Jackie|name} as their {manager|manager}?
department that {adil|name} work for?,{How many|function} employees are between {20|sys_number} and {30|sys_number} {years old|age}?,{production manager|position},{bradley knapp|name} {makes|money} what {weekly|time_recur},"{percent|function} of {earners|money} {making|money} {below|comparator} {$34,000|sys_amount-of-money}",what are our {lowest|extreme} {paycheck|money} employees,{Rick Clayton|name} {worked here|employment_action} for how long,,employees are {born|dob} in the second week of {feb|sys_time},Whose {carlos merlos|name}s {management|manager} personnel?,can you tell me whether {michael riordan|name} is a {boss|manager} or not?
what is the {race|racedesc} of {taylor|name},{How many|function} employees are from {New York|state}?,{it manager - support|position} employees,{julia|name} {compensation|money},what is the {total|function} {pay|money} in the {sales department|department},show me the {max|extreme} {earning|money} {production technician|position}s,{Sean Quinn|name} {date of birth|dob},,Give me a list of employees that have a {birthday|dob} in {July|sys_time},"What is the full, first and last, {manager name|manager} for the employee: {Sean|name}",Who are those employees that directly {report|manager} to {samuel maclennan|name}
tell me what is {Marianne Eaton|name}'s citizen status,What {percent|function} of employees are {female|sex}?,workers that aren't {American citizen|citizendesc},Amount that {mia|name} gets as his {earning|money}s,"{total|function} {count|function} of people are {earning|money} {less than|comparator} {30,000|sys_number} {yearly|time_recur}?","For employees {fired|employment_action} {between|comparator} {4|sys_number} to {7 years|sys_duration} ago, which employee {earns|money} the {least|extreme}?",{Myriam Givens|name} {date of birth|dob},,{hispanic|racedesc} employees {bday|dob} {after|date_compare} {1980|sys_time},{Juan Gonzalez|name} {reports to|manager} name?,All of the employees that are {reporting to|manager} to Mr. {Paula Gross|name} if any
Get me {Julia|name}'s {race|racedesc},{How many|function} employees are minorities?,{sr. dba|position},{Jean Crimmings|name} {on the hour|time_recur} {earners|money},{weekly basis|time_recur} {salary|money} for {non citizen|citizendesc}s,who is the {highest|extreme} {earning|money} {production manager|position} and what is {his|sex} or {her|sex} {pay|money},Give me {Adil Sahoo|name}'s total time he has been {working here for|employment_action},,employees w/ {join date|employment_action} {post|date_compare} {Feb 3 2013|sys_time},is {hang wolk|name}'s manager {trina alagbe|name}?,is {Leonara|name} the {manager|manager} of {gerry friedman|name}?
{Taylor|name}'s {age|age},{ratio|function} of employees are {non-citizen|citizendesc}?,who is doing {it support|position} at this company?,{Sharlene Terry|name} {pay|money} info,{male|sex} {earnings|money} {typically|function}?,show me the {top|extreme} {earning|money} {production technician ii|position}s,How long ago did we {fire|employment_action} {nan|name} from the company,,Those in {IT|department} department that have a {start date|employment_action} with us {before|date_compare} {6 months|sys_duration} ago,what's {Maryellen Jackson|name}'s {manager|manager} currently listed as in the system?,can i get the employee names for those {reporting|manager} to {lynn daneault|name}
Why was {Raul Garcia|name} {fired|employment_action}?,What is the {median|function} {age of|age} employees in the {sales|department} and {marketing departments|department}?,{GA|state} employees list,What does {julia|name} {make|money}?,what is the {total|function} {pay|money} in the {production|department} department,what is the {maximum|extreme} {salary|money} among {women|sex},"{started working|employment_action}, {Phil Close|name} when",,Which employees have yet to have their {birthday|dob} {this year|sys_time}?,{leads|manager} of {Jean|name},{Carl Desimone|name} {manages|manager} which individuals?
Whats {cybil|name}'s last name?,{distribution|function} within the {software engineering|department}?,list out of employees that are based in {AL|state},{on a daily basis|time_recur} {income|money} {jason salter|name},{total|function} people {making|money} {fewer than|comparator} {30000|sys_number} {monthly|time_recur}?,what's the {maximum|extreme} {salary|money} among {men|sex},Was {mia brown|name} {fired|employment_action} in between the month of June and August?,,{male|sex} workers {born|dob} in the {90's|time_interval},"does {megan faller|name} have a {boss|manager} that he {reports to|manager}, if so who is it?",Get me an employee list with people who {work for|manager} {shari|name}
is {Nan|name} a {citizen|citizendesc},Tell me the {aggregate|function} {count|function} of employees are {widowed|maritaldesc}?,employees from {NH|state},{Gerry Friedman|name} {makes|money},How much {pay|money} did all the {employees that have been here|employment_action} for {more than|comparator} {three months|sys_duration}?,tell me the {max|extreme} {salary|money} among {men|sex},{date of birth|dob} of {Joelle Burke|name},,People from {software engineering|department} dept that have been {working here for|employment_action} us within the {pre|date_compare} {five months|sys_duration},Please do tell who is the {management|manager} person for {lenora|name},for which employees is {adell|name} the {boss|manager}
state of {Janet King|name},{How many|function} employees work from {California|state},list of {president & ceo|position},What is {John Kretschmer|name}'s {paycheck|money}?,how much is the {executive office|department} department {paying|money} its employees in {sum|function},calculate the {max|extreme},When exactly did we let {nan singh|name} go?,,Tell me of employees who {joined|employment_action} this org back in {2014|sys_time},tell me who the {manager|manager} is that is {managing|manager} Ms. {elizabeth meads|name},if There is anyone {working for|manager} Mr. {kristie nowlan|name} who are those people?
does {Kelley|name} work as a {sr. dba|position},What {percent|function} of employees {exceeded expectations|performance_score}?,Which employees are {american indian or alaska native|racedesc}?,What are {anthony|name}'s {earners|money} {yearly|time_recur}?,what is the {bottom|extreme} {earner|money} in the {it|department} department,find me the {not a citizen|citizendesc} workers {making|money} the {minimum|extreme},When was {Mia Brown|name} {hired|employment_action}?,,Which employees are {born|dob} in {feb|sys_time},{managing|manager} employee for the employee {Susan Exantus|name},who {works for|manager} {anthony|name}
tell me what is {Nader Barton|name}'s citizenship status,{How many|function} employees are {married|maritaldesc},{managers|position},{daily|time_recur} {income|money} {Angela Erilus|name},what {percent|function} of employees {earn|money} {25|sys_number} {hourly|time_recur}?,{non-citizens|citizendesc} workers {salaries|money},Which date was {mildred gentry|name}'s {date of hire|employment_action}?,,get me {software engineer|position} {born|dob} in {1990's|time_interval},{manager|manager} for {Hannah|name},can i have all of the names who report to {nori sewkumar|name} as a list
Is {Sarah Warfield|name}'s {exceeding expectations|performance_score}?,What is the {percentage|function} of {senior engineers|position} in the company,employees were found via {word of mouth|employee_source}?,Does {andrew szabo|name} {make|money} {70k|sys_number} in {earnings|money}?,Get me the {portion|function} of {earning|money} made by new grad hires?,{immigrants|citizendesc} {salaries|money},"When {April Evensen|name} decided to {end her employment|employment_action}, what was the date",,{May|sys_time} {born|dob},{manager|manager} name for ms {Christie Harrington|name},Is {sharlene terry|name} a {manager|manager}
is {Abdellah Veera|name} {terminated|employment_status} or not,What is the {head count|function} trend within the {Sales department|department}?,employees that work as an {it manager - db|position},{income|money} {Jayne|name},How much does the {avg|function} employee {hired|employment_action} after {2017|sys_time} {earn|money}?,get me the {immigrants|citizendesc} {earning|money} the {max|extreme},Was {Ivan|name} {fired on|employment_action} the same month that she was {hired|employment_action}?,,Which employees had an {end date|employment_action} in the {last|date_compare} {five years|sys_duration}?,{manager|manager} of {betsy|name},Are there any workers who {report to|manager} to Mr.{abdellah veera|name}
why did we {let go|employment_action} of {Ivan|name},{percent|function} employees {joined|employment_action} us through a {search engine - google bing yahoo|employee_source}?,Which employees have gotten only {positive feedback|performance_score}?,What is the {dollars|money} {made|money} by {Angela Erilus|name}?,how much are all the employees in the {executive office|department} getting in {salary|money} {typically|function},{paychecks|money} {eligble non citizen|citizendesc},{Amy|name} {DOB|dob},,{CT|state} employees {hired|employment_action} {atleast|date_compare} {three years ago|sys_time},is {courtney|name} {under|manager} {Jonathan|name} or is it the other way around?,for which employees is {david stanley|name} the {leadership|manager}
what is the {performance|performance_score} of {bruno|name},{fraction|function} of folks working here who are {female|sex}?,who are our {it director|position},"{on a yearly basis|time_recur} {income|money}, for {Enola|name}",{average|function} {salary|money} of {males|sex},find me the {us citizen|citizendesc} employees {making|money} the {minimum|extreme},What is the {date of hiring|employment_action} for {julia|name},,{fifteen|sys_number} {most|extreme} recently {hired|employment_action} employees,who is the {manager|manager} for {Kramer|name} and also for {anthony|name},Tell me who is the worker {reporting|manager} to {Debbie|name}
is there anyone named vijay,Calc the {ratio|function} that {fully meet performance expecations|performance_score},Get me employees who are {single|maritaldesc},How much is {Lori Roby|name}s {salary|money} on {paycheck|money},{average|function} {salary|money} of {females|sex},{salaries|money} of {immigrant|citizendesc},Please get me {DOB|dob} of {mia brown|name},,employees that are {citizens|citizendesc} and {born|dob} between {1960|sys_time} and {1990|sys_time},{reports to|manager} {kamrin sander|name},who all is {working for|manager} {Julia Soto|name}
Which {department|department} is {Michael|name} in?,What {percentage|function} of employees are {US Citizens|citizendesc}?,{software engineer|position} list,What does {Jeremy Prater|name}'s {paycheck|money} look like?,{how many|function} {female|sex} employees {earn|money} {more than|comparator} {30|sys_number} {an hour|sys_duration},{earnings|money} of {non us citizen|citizendesc} workers,{Sam Athwal|name}'s num yrs {of experience|employment_action}?,,who has the {oldest|extreme} {hiring date|employment_action},employees that directly that {report|manager} to {bianca roehrich|name},"is there anyone {reporting|manager} to Ms. {ebonee peterson|name}, if so who are those people?"
{age|age} of {mia|name},{How many|function} employees work in the {MA|state} office?,Which employees are {males|sex}?,{susan|name} {earns|money} how much {day by day|time_recur},{how many|function} {female|sex} employees {earn|money} {more than|comparator} {30|sys_number} {hourly|time_interval},{eligble non citizen|citizendesc} {salaries|money},What was the exact date when {Amy|name} {started her job|employment_action} at our company?,,who has the {earliest|extreme} {hiring date|employment_action},I want to know the name of the {supervisor|manager} for {Jason|name},as of today Ms. {Ebonee|name} is {managing|manager} which employees
sex and {age of|age} {Geoff Dickinson|name},What is the {voluntary attrition rate|function}  among managers in the {operations department|department}?,employees based in {MA|state},{Marilyn Linares|name} {salary|money} {$|money},{how many|function} {male|sex} employees {earn|money} {more than|comparator} {20|sys_number} {an hour|sys_duration},{earnings|money} of {citizen|citizendesc} people,What is {Bonalyn|name}s number of years {of experience|employment_action} at this company?,,who was the {latest|extreme} employee to be {terminated|employment_action},I want to know the name of the {lead|manager} for {Carlos Merlos|name},which employees have a {manager|manager} that goes by the name {mathew|name}
give me the title of the {job|position}  that {ivan|name} has,{How many|function} people have {worked here|employment_action} since {2015|sys_time}?,Which employees are in the {software engineering|department}?,How much does Cisco {pay|money} {julia soto|name} {each year|time_recur}?,{non us citizen|citizendesc} {earnings|money} {total|function},get me the {from abroad|citizendesc} {earning|money} the {max|extreme},"{start date|employment_action}, {Bianca Roehrich|name}",,who was the {latest|extreme} employee to be {hired|employment_action},employees that directly {report|manager} to {Ketsia|name},{Lindsey Langford|name} is the {lead|manager} for which employees
Where does Ms.{bramante|name} live?,{total|function} of employees are {single|maritaldesc}?,i want the {least|extreme} {third|sys_ordinal} of employees,Tell me about {Lei-Ming Nguyen|name}'s {earning|money} rate,what is the {average|function} {pay|money} for {eligble non citizen|citizendesc} workers,which {from abroad|citizendesc} employees {earns|money} the {most|extreme},{Ivan Rogers|name} {bday month|dob},,who was the {earliest|extreme} employee to be {fired|employment_action},I want to know the name of the {manager|manager} for {Ned Miller|name},which of our employees have {Dheepa|name} as their {supervisor|manager}
Find me {tayana|name}'s employment status,{percent|function} of {terminated|employment_status} as a result of {lack of innovation|reason_for_termination},employees {older than|comparator} {23 years|sys_duration},How much does the company {pay|money} {Taisha|name} {by the week|time_recur}?,{average|function} {hourly|time_recur} {earnings|money} for {us citizen|citizendesc},{eligble non citizen|citizendesc} workers {salaries|money},The date was what when {Catherine Ybarra|name} started {working here|employment_action} with the company,,who was {hired|employment_action} the {earliest|extreme},can you tell me who the {supervisor|manager} is that is {supervising|manager} Ms. {neville tredinnick|name},name of person who {works for|manager} ms {Ivan Rogers|name}
What is {ivan rogers|name}'s {job|position} ?,Calculate the {number of|function} managers in the {software engineering|department} department?,{us citizen|citizendesc} employees,What is {Myriam Givens|name} {salary|money},what do {immigrants|citizendesc} {make|money} on {average|function} {yearly|time_recur},{earnings|money} of {non citizen|citizendesc} employees,"{Christie Harrington|name} {start date|employment_action}, what was the date?",,{earliest|extreme} employee to be {terminated|employment_action},who is Ms. {peter monroe|name} {manager name|manager},who all is {working for|manager} {Travis Ozark|name}
which {state|state}  is {Geoff|name} from,What {how many|function} of employees are {non-citizen|citizendesc}?,employees between the {ages|age} {23|sys_number} and {56|sys_number},"According to the {payroll|money}, how much does {Libby Fidelia|name} {earn|money}?",what is the {typical|function} {salary|money} of {from abroad|citizendesc} employees,get me the {immigrants|citizendesc} {earning|money} the {max|extreme},What was {julia|name}'s {DOB|dob}?,,who is the {oldest|extreme} employee to be {fired|employment_action},"{neville|name}, who is the person that she {reports to|manager}?",which employees have a {lead|manager} that goes by the name {kelley spirea|name}
What is {Julia Soto|name}'s {performance evaluation|performance_score} history?,{mean|function} employees who are {male|sex}?,tell me who is the {youngest|extreme} employee,How much is {Sandy Mckenna|name} {earning|money} on the {payroll|money},{average|function} {hourly|time_recur} {earnings|money} for {us citizen|citizendesc},which {immigrants|citizendesc} employees {earns|money} the {most|extreme},When was {Lei-Ming Nguyen|name}'s {start date|employment_action}?,,who is {latest|extreme} to be {let go|employment_action},can you tell me who {works for|manager} Ms. {Sean Bernstein|name},which employees have {Janine|name} as their {reporting|manager} point
Is {Nan|name} {married|maritaldesc}?,What's the {average|function} {performance|performance_score} of all employees within the company?,employee with the {lowest|extreme} {age|age},What does {Erasumus monkfish|name}'s {earnings|money} look like?,what is the {typical|function} {salary|money} of {eligible non-citizens|citizendesc} employees,{earnings|money} of {us citizen|citizendesc} workers,employment {termination date|employment_action} {Amy|name},,Find me the names of {immigrant|citizendesc} {hired|employment_action} in {2013|sys_time},Who is {Julia|name}'s {manager|manager}?,which are the employees that are {under|comparator} the {supervisor|manager} {Linda|name}?
which is the branch that {Bradley Knapp|name} working in,{total|function} {number of|function} employees from different states?,{database administrator|position},{ivan rogers|name} {payrate|money},what is the {typical|function} {salary|money} of {not citizens|citizendesc} people,which {non-citizen|citizendesc} workers {earns|money} the {most|extreme},What is the {hiring date|employment_action} for {Latia|name},,which {from abroad|citizendesc} employees {joined|employment_action} in {2012|sys_time},I wanna know the name of the {supervisor|manager} for {Estelle Howard|name},Please can u give the names of employees who report to {Jenna Dietrich|name}
"Please tell me, is {morissa power|name} {separated|maritaldesc} or not?",{percent|function} of {active|employment_status},{Sr. DBAs|position},What does {Ivan|name} {make|money} on the {Payroll|money},what do {citizen|citizendesc} {make|money} on {average|function} {yearly|time_recur},{earnings|money} of {immigrant|citizendesc} employees,What was it that {Nilson Ferivandes|name} {began working for|employment_action} this company?,,which {not a citizen|citizendesc} workers have a {birthday|dob} in {1960|time_interval},Create me a list of all of the employees that are currently {managing|manager} {shari|name},"{Janine Purinton|name} {manager name|manager}, which individuals?"
whats {simon|name}'s {job title|position},{typical|function} {age of|age} the employees who are minorities?,employees between the {ages|age} {34|sys_number} and {23|sys_number},{nan singh|name} {hourly|time_recur} {pay|money},{not a citizen|citizendesc} {earnings|money} {total|function},{salaries|money} of {eligible non-citizens|citizendesc},{mia brown|name} {fire date|employment_action},,get me a list of {us citizen|citizendesc} workersthat have their {birthdays|dob} in the {1970's|time_interval},Who is {Alex Sweetwater|name}'s {manager|manager}?,Which employees are {under|comparator} the {Manager|manager} {leonara lindsay|name}?
What is {ivan rogers|name}'s official {position|position} ?,{How many|function} employees are {below|comparator} the {age of|age} {30|sys_number},employees based in {CO|state},Does {Maryellen Jackson|name} {incomes|money} {6 figs|sys_number}?,whats the {average|function} {pay|money} for {not citizens|citizendesc} people,{paychecks|money} {eligible non-citizens|citizendesc},Whats {Mohammed Latif|name}'s {date of birth|dob}?,,which {eligble non citizen|citizendesc} employees have a {birthday|dob} in {1960|time_interval},tell me the {supervisor|manager} that is {reponsible for|manager} {Julia Soto|name} as well as the {supervisor|manager} reponsible for {tanya morway|name},does {Shenice Gold|name} have the role of being a {manager|manager}
Is Mr.{Murray|name} working from out of {state|state} ?,{how many|function} employees are {female|sex} in our company?,All the {September|sys_time} {birthdays|dob},What does the {payroll|money} say about {Joe South|name}'s {salary|money},what do {immigrant|citizendesc} {make|money} on {average|function} {yearly|time_recur},{immigrants|citizendesc} employees who {makes|money} the {least|extreme},How long was {Brandon LeBlanc|name} working for?,,{non citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,I would like you to tell what the name is of {Cayo Gonzalez|name}'s {managing|manager} employee?,i want the name of everyone that is {is under|manager} Mr.{colombui|name}
does {Mia|name} live in {Cali|state},What {percentage|function} of the employees are minorities?,get me the {lowest|extreme} {five|sys_number} {total number|function} of employees,What does {Joseph Buccheri|name} {dollars|money}?,what is the {average|function} {pay|money} for {non us citizen|citizendesc} employees,find me the {not citizens|citizendesc} people {making|money} the {minimum|extreme},Which date was {Randall Pearson|name}'s {join|employment_action} date?,,which {us citizen|citizendesc} people {joined|employment_action} in {2012|sys_time},Who is the {manager|manager} for {Helen|name},is {Denisa|name} a {manager|manager} in our company
Get me {Nicole Fancett|name}'s {race|racedesc},{How many|function} employees are {not citizens|citizendesc}?,who is {separated|maritaldesc},{pay|money} {Constance Sloan|name},what is the {average|function} {pay|money} for {non-citizen|citizendesc} employees,which {us citizen|citizendesc} employees {earns|money} the {most|extreme},What was {Sneha Jhaveri|name}'s number of {years of experience|employment_action}?,,get me a list of {not citizens|citizendesc} workersthat have their {birthdays|dob} in the {1970's|time_interval},who is {shana petingill|name}'s {manager|manager} that {whitney gill|name} currently {is under|manager}?,which employees is {Ned|name} the {management|manager} employee for
what is the {race|racedesc} of {bruno|name},{total|function} {count|function} of the employees that are minorities?,Which employee(s) {meet 90-day expectations|performance_score} company's expectations?,Does {claudia carr|name} {$|money} {more|comparator} money than {seventy thousand|sys_number} {each day|time_recur}?,what is the {average|function} {pay|money} for {non-citizen|citizendesc} people,find me the {non citizen|citizendesc} workers {making|money} the {minimum|extreme},"{start date|employment_action}, {Ivan Rogers|name}",,get me a list of {eligible non-citizens|citizendesc} peoplethat have their {birthdays|dob} in the {1970's|time_interval},"Who's the guy that our employee,{Donna|name}, currently {works for|manager}?",which employees have a {management|manager} person that goes by the name {Benjamin Burkett|name}
which {state|state}  is {Joelle Burke|name} from,"{percent|function} break down of employees that joined via {on-campus recruiting|employee_source}, {careerbuilder|employee_source} and {word of mouth|employee_source}?",Which employees are {non-citizen|citizendesc}?,Tell me how much {mia|name} {making|money},{average|function} {hourly|time_recur} {earnings|money} for {non us citizen|citizendesc},get me the {eligble non citizen|citizendesc} {earning|money} the {max|extreme},Has {Nan Singh|name} been working here for {3 years|sys_duration}?,,get me a list of {eligible non-citizens|citizendesc} workersthat have their {birthdays|dob} in the {1970's|time_interval},Find me the names of everyone that is {managing|manager} mr.{Dheepa Nguyen|name},{julia|name} is the {manager|manager} of which employees
what is {Denisa dobrin|name}'s employment status,Employees with more than {5 yrs|sys_duration} of experience in their field,{AZ|state} employees listed out,"{Yearly|time_recur} {compensation|money}, {Ivan|name}",how much do {citizen|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{earnings|money} of {eligble non citizen|citizendesc} people,{date of birth|dob} of {Wilson Adinolfi|name},,which {eligible non-citizens|citizendesc} people {joined|employment_action} in {2012|sys_time},who {manages|manager} Mr.{bonalyn|name},Tell who is {working under|manager} {Caroline|name}
